timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598396629857,12,Home Page,200,OK,Thread Group 1-1,text,true,,5248,116,2,2,http://localhost:8080/,12,0,1
1598396629867,15,Home Page,200,OK,Thread Group 1-3,text,true,,5248,116,4,4,http://localhost:8080/,15,0,0
1598396629870,19,Home Page,200,OK,Thread Group 1-2,text,true,,5248,116,6,6,http://localhost:8080/,19,0,0
1598396629877,13,Home Page,200,OK,Thread Group 1-5,text,true,,5248,116,6,6,http://localhost:8080/,13,0,1
1598396629872,19,Home Page,200,OK,Thread Group 1-4,text,true,,5248,116,6,6,http://localhost:8080/,19,0,0
1598396629883,16,Home Page,200,OK,Thread Group 1-6,text,true,,5248,116,8,8,http://localhost:8080/,16,0,0
1598396629888,12,Home Page,200,OK,Thread Group 1-7,text,true,,5248,116,8,8,http://localhost:8080/,12,0,0
1598396629892,11,Home Page,200,OK,Thread Group 1-8,text,true,,5248,116,9,9,http://localhost:8080/,11,0,0
1598396629897,9,Home Page,200,OK,Thread Group 1-9,text,true,,5248,116,9,9,http://localhost:8080/,9,0,0
1598396629902,10,Home Page,200,OK,Thread Group 1-10,text,true,,5248,116,10,10,http://localhost:8080/,10,0,1
1598396629913,7,Home Page,200,OK,Thread Group 1-12,text,true,,5248,116,12,12,http://localhost:8080/,7,0,0
1598396629908,19,Home Page,200,OK,Thread Group 1-11,text,true,,5248,116,13,13,http://localhost:8080/,19,0,0
1598396629917,21,Home Page,200,OK,Thread Group 1-13,text,true,,5248,116,15,15,http://localhost:8080/,21,0,0
1598396629923,15,Home Page,200,OK,Thread Group 1-14,text,true,,5248,116,15,15,http://localhost:8080/,15,0,0
1598396629932,31,Home Page,200,OK,Thread Group 1-16,text,true,,5248,116,14,14,http://localhost:8080/,31,0,0
1598396629944,22,Home Page,200,OK,Thread Group 1-18,text,true,,5248,116,14,14,http://localhost:8080/,22,0,0
1598396629954,38,Home Page,200,OK,Thread Group 1-20,text,true,,5248,116,15,15,http://localhost:8080/,38,0,2
1598396629955,46,Home Page,200,OK,Thread Group 1-15,text,true,,5248,116,15,15,http://localhost:8080/,46,0,1
1598396629976,32,Home Page,200,OK,Thread Group 1-24,text,true,,5248,116,14,14,http://localhost:8080/,32,0,4
1598396629937,75,Home Page,200,OK,Thread Group 1-17,text,true,,5248,116,14,14,http://localhost:8080/,75,0,0
1598396629985,30,Home Page,200,OK,Thread Group 1-25,text,true,,5248,116,14,14,http://localhost:8080/,30,0,1
1598396629970,52,Home Page,200,OK,Thread Group 1-19,text,true,,5248,116,17,17,http://localhost:8080/,52,0,0
1598396629988,35,Home Page,200,OK,Thread Group 1-22,text,true,,5248,116,17,17,http://localhost:8080/,35,0,0
1598396629994,34,Home Page,200,OK,Thread Group 1-28,text,true,,5248,116,18,18,http://localhost:8080/,34,0,1
1598396630000,33,Home Page,200,OK,Thread Group 1-29,text,true,,5248,116,18,18,http://localhost:8080/,33,0,0
1598396629989,51,Home Page,200,OK,Thread Group 1-27,text,true,,5248,116,19,19,http://localhost:8080/,51,0,0
1598396630016,26,Home Page,200,OK,Thread Group 1-31,text,true,,5248,116,18,18,http://localhost:8080/,26,0,1
1598396630022,22,Home Page,200,OK,Thread Group 1-34,text,true,,5248,116,18,18,http://localhost:8080/,22,0,0
1598396629984,81,Home Page,200,OK,Thread Group 1-26,text,true,,5248,116,20,20,http://localhost:8080/,81,0,0
1598396630018,65,Home Page,200,OK,Thread Group 1-33,text,true,,5248,116,19,19,http://localhost:8080/,65,0,0
1598396629959,125,Home Page,200,OK,Thread Group 1-21,text,true,,5248,116,19,19,http://localhost:8080/,125,0,0
1598396630035,65,Home Page,200,OK,Thread Group 1-36,text,true,,5248,116,20,20,http://localhost:8080/,65,0,0
1598396629980,130,Home Page,200,OK,Thread Group 1-23,text,true,,5248,116,23,23,http://localhost:8080/,130,0,0
1598396630013,99,Home Page,200,OK,Thread Group 1-32,text,true,,5248,116,23,23,http://localhost:8080/,99,0,0
1598396630047,78,Home Page,200,OK,Thread Group 1-38,text,true,,5248,116,23,23,http://localhost:8080/,78,0,0
1598396630048,84,Home Page,200,OK,Thread Group 1-39,text,true,,5248,116,25,25,http://localhost:8080/,84,0,0
1598396630064,79,Home Page,200,OK,Thread Group 1-40,text,true,,5248,116,27,27,http://localhost:8080/,79,0,1
1598396630087,63,Home Page,200,OK,Thread Group 1-44,text,true,,5248,116,27,27,http://localhost:8080/,63,0,0
1598396630086,74,Home Page,200,OK,Thread Group 1-46,text,true,,5248,116,26,26,http://localhost:8080/,74,0,0
1598396630019,145,Home Page,200,OK,Thread Group 1-30,text,true,,5248,116,28,28,http://localhost:8080/,145,0,0
1598396630103,63,Home Page,200,OK,Thread Group 1-48,text,true,,5248,116,29,29,http://localhost:8080/,63,0,0
1598396630109,61,Home Page,200,OK,Thread Group 1-50,text,true,,5248,116,30,30,http://localhost:8080/,61,0,0
1598396630119,53,Home Page,200,OK,Thread Group 1-47,text,true,,5248,116,30,30,http://localhost:8080/,53,0,0
1598396630107,68,Home Page,200,OK,Thread Group 1-49,text,true,,5248,116,30,30,http://localhost:8080/,68,0,3
1598396630084,102,Home Page,200,OK,Thread Group 1-42,text,true,,5248,116,28,28,http://localhost:8080/,102,0,0
1598396630126,66,Home Page,200,OK,Thread Group 1-54,text,true,,5248,116,31,31,http://localhost:8080/,66,0,0
1598396630133,66,Home Page,200,OK,Thread Group 1-56,text,true,,5248,116,31,31,http://localhost:8080/,66,0,0
1598396630129,71,Home Page,200,OK,Thread Group 1-51,text,true,,5248,116,31,31,http://localhost:8080/,70,0,1
1598396630028,172,Home Page,200,OK,Thread Group 1-35,text,true,,5248,116,32,32,http://localhost:8080/,172,0,0
1598396630170,56,Home Page,200,OK,Thread Group 1-59,text,true,,5248,116,34,34,http://localhost:8080/,56,0,0
1598396630165,61,Home Page,200,OK,Thread Group 1-62,text,true,,5248,116,34,34,http://localhost:8080/,61,0,0
1598396630065,163,Home Page,200,OK,Thread Group 1-41,text,true,,5248,116,34,34,http://localhost:8080/,163,0,0
1598396630088,144,Home Page,200,OK,Thread Group 1-43,text,true,,5248,116,33,33,http://localhost:8080/,144,0,0
1598396630085,153,Home Page,200,OK,Thread Group 1-37,text,true,,5248,116,34,34,http://localhost:8080/,153,0,0
1598396630186,70,Home Page,200,OK,Thread Group 1-65,text,true,,5248,116,34,34,http://localhost:8080/,70,0,0
1598396630192,70,Home Page,200,OK,Thread Group 1-67,text,true,,5248,116,34,34,http://localhost:8080/,70,0,0
1598396630133,132,Home Page,200,OK,Thread Group 1-52,text,true,,5248,116,36,36,http://localhost:8080/,132,0,1
1598396630162,120,Home Page,200,OK,Thread Group 1-61,text,true,,5248,116,36,36,http://localhost:8080/,120,0,1
1598396630200,85,Home Page,200,OK,Thread Group 1-69,text,true,,5248,116,36,36,http://localhost:8080/,85,0,0
1598396630212,73,Home Page,200,OK,Thread Group 1-70,text,true,,5248,116,36,36,http://localhost:8080/,73,0,1
1598396630118,167,Home Page,200,OK,Thread Group 1-53,text,true,,5248,116,36,36,http://localhost:8080/,167,0,0
1598396630088,197,Home Page,200,OK,Thread Group 1-45,text,true,,5248,116,36,36,http://localhost:8080/,197,0,0
1598396630206,81,Home Page,200,OK,Thread Group 1-64,text,true,,5248,116,37,37,http://localhost:8080/,81,0,0
1598396630186,110,Home Page,200,OK,Thread Group 1-66,text,true,,5248,116,40,40,http://localhost:8080/,110,0,1
1598396630151,161,Home Page,200,OK,Thread Group 1-58,text,true,,5248,116,42,42,http://localhost:8080/,161,0,0
1598396630225,100,Home Page,200,OK,Thread Group 1-73,text,true,,5248,116,43,43,http://localhost:8080/,100,0,0
1598396630263,66,Home Page,200,OK,Thread Group 1-82,text,true,,5248,116,44,44,http://localhost:8080/,66,0,0
1598396630128,208,Home Page,200,OK,Thread Group 1-55,text,true,,5248,116,43,43,http://localhost:8080/,208,0,1
1598396630203,136,Home Page,200,OK,Thread Group 1-63,text,true,,5248,116,44,44,http://localhost:8080/,136,0,0
1598396630224,123,Home Page,200,OK,Thread Group 1-72,text,true,,5248,116,44,44,http://localhost:8080/,123,0,1
1598396630165,188,Home Page,200,OK,Thread Group 1-57,text,true,,5248,116,45,45,http://localhost:8080/,188,0,0
1598396630196,167,Home Page,200,OK,Thread Group 1-68,text,true,,5248,116,46,46,http://localhost:8080/,167,0,0
1598396630253,117,Home Page,200,OK,Thread Group 1-80,text,true,,5248,116,45,45,http://localhost:8080/,117,0,0
1598396630288,86,Home Page,200,OK,Thread Group 1-87,text,true,,5248,116,46,46,http://localhost:8080/,86,0,0
1598396630209,166,Home Page,200,OK,Thread Group 1-71,text,true,,5248,116,46,46,http://localhost:8080/,166,0,0
1598396630191,186,Home Page,200,OK,Thread Group 1-60,text,true,,5248,116,47,47,http://localhost:8080/,186,0,0
1598396630234,150,Home Page,200,OK,Thread Group 1-74,text,true,,5248,116,46,46,http://localhost:8080/,150,0,0
1598396630237,154,Home Page,200,OK,Thread Group 1-76,text,true,,5248,116,48,48,http://localhost:8080/,154,0,0
1598396630263,135,Home Page,200,OK,Thread Group 1-75,text,true,,5248,116,48,48,http://localhost:8080/,135,0,0
1598396630263,140,Home Page,200,OK,Thread Group 1-77,text,true,,5248,116,47,47,http://localhost:8080/,140,0,0
1598396630286,125,Home Page,200,OK,Thread Group 1-79,text,true,,5248,116,49,49,http://localhost:8080/,125,0,1
1598396630414,1,Home Page,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8080 failed to respond,Thread Group 1-112,text,false,,2067,0,50,50,http://localhost:8080/,0,0,0
1598396630293,128,Home Page,200,OK,Thread Group 1-84,text,true,,5248,116,50,50,http://localhost:8080/,128,0,0
1598396630422,2,Home Page,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8080 failed to respond,Thread Group 1-114,text,false,,2067,0,50,50,http://localhost:8080/,0,0,1
1598396630287,143,Home Page,200,OK,Thread Group 1-83,text,true,,5248,116,50,50,http://localhost:8080/,143,0,0
