timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598396528329,29,Home Page,200,OK,Thread Group 1-1,text,true,,5248,116,1,1,http://localhost:8080/,29,0,1
1598396528832,108,Home Page,200,OK,Thread Group 1-2,text,true,,5248,116,1,1,http://localhost:8080/,108,0,0
1598396529329,67,Home Page,200,OK,Thread Group 1-3,text,true,,5248,116,1,1,http://localhost:8080/,67,0,0
1598396529829,92,Home Page,200,OK,Thread Group 1-4,text,true,,5248,116,1,1,http://localhost:8080/,92,0,1
1598396530330,60,Home Page,200,OK,Thread Group 1-5,text,true,,5248,116,1,1,http://localhost:8080/,60,0,0
1598396530829,26,Home Page,200,OK,Thread Group 1-6,text,true,,5248,116,1,1,http://localhost:8080/,26,0,1
1598396531328,9,Home Page,200,OK,Thread Group 1-7,text,true,,5248,116,1,1,http://localhost:8080/,9,0,0
1598396531829,5,Home Page,200,OK,Thread Group 1-8,text,true,,5248,116,1,1,http://localhost:8080/,5,0,0
1598396532328,18,Home Page,200,OK,Thread Group 1-9,text,true,,5248,116,1,1,http://localhost:8080/,18,0,1
1598396532828,10,Home Page,200,OK,Thread Group 1-10,text,true,,5248,116,1,1,http://localhost:8080/,10,0,0
