timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598396568671,7,Home Page,200,OK,Thread Group 1-1,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396568686,8,Home Page,200,OK,Thread Group 1-2,text,true,,5248,116,1,1,http://localhost:8080/,8,0,0
1598396568699,7,Home Page,200,OK,Thread Group 1-3,text,true,,5248,116,3,3,http://localhost:8080/,7,0,0
1598396568707,12,Home Page,200,OK,Thread Group 1-4,text,true,,5248,116,3,3,http://localhost:8080/,12,0,0
1598396568711,12,Home Page,200,OK,Thread Group 1-5,text,true,,5248,116,4,4,http://localhost:8080/,12,0,1
1598396568722,14,Home Page,200,OK,Thread Group 1-6,text,true,,5248,116,3,3,http://localhost:8080/,14,0,0
1598396568732,17,Home Page,200,OK,Thread Group 1-7,text,true,,5248,116,2,2,http://localhost:8080/,17,0,0
1598396568743,11,Home Page,200,OK,Thread Group 1-8,text,true,,5248,116,3,3,http://localhost:8080/,11,0,0
1598396568751,10,Home Page,200,OK,Thread Group 1-9,text,true,,5248,116,2,2,http://localhost:8080/,10,0,1
1598396568762,7,Home Page,200,OK,Thread Group 1-10,text,true,,5248,116,3,3,http://localhost:8080/,7,0,0
1598396568772,7,Home Page,200,OK,Thread Group 1-11,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396568781,7,Home Page,200,OK,Thread Group 1-12,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396568792,15,Home Page,200,OK,Thread Group 1-13,text,true,,5248,116,2,2,http://localhost:8080/,15,0,0
1598396568813,7,Home Page,200,OK,Thread Group 1-15,text,true,,5248,116,3,3,http://localhost:8080/,7,0,0
1598396568807,14,Home Page,200,OK,Thread Group 1-14,text,true,,5248,116,3,3,http://localhost:8080/,14,0,0
1598396568831,10,Home Page,200,OK,Thread Group 1-17,text,true,,5248,116,2,2,http://localhost:8080/,10,0,1
1598396568836,10,Home Page,200,OK,Thread Group 1-16,text,true,,5248,116,2,2,http://localhost:8080/,10,0,0
1598396568848,12,Home Page,200,OK,Thread Group 1-18,text,true,,5248,116,2,2,http://localhost:8080/,12,0,1
1598396568855,11,Home Page,200,OK,Thread Group 1-19,text,true,,5248,116,3,3,http://localhost:8080/,11,0,1
1598396568862,12,Home Page,200,OK,Thread Group 1-20,text,true,,5248,116,3,3,http://localhost:8080/,12,0,0
1598396568875,9,Home Page,200,OK,Thread Group 1-21,text,true,,5248,116,2,2,http://localhost:8080/,9,0,0
1598396568886,8,Home Page,200,OK,Thread Group 1-22,text,true,,5248,116,2,2,http://localhost:8080/,8,0,0
1598396568896,11,Home Page,200,OK,Thread Group 1-23,text,true,,5248,116,2,2,http://localhost:8080/,11,0,0
1598396568912,8,Home Page,200,OK,Thread Group 1-25,text,true,,5248,116,2,2,http://localhost:8080/,8,0,0
1598396568902,20,Home Page,200,OK,Thread Group 1-24,text,true,,5248,116,3,3,http://localhost:8080/,20,0,0
1598396568921,9,Home Page,200,OK,Thread Group 1-26,text,true,,5248,116,2,2,http://localhost:8080/,9,0,1
1598396568931,7,Home Page,200,OK,Thread Group 1-27,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598396568952,7,Home Page,200,OK,Thread Group 1-28,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396568963,8,Home Page,200,OK,Thread Group 1-29,text,true,,5248,116,2,2,http://localhost:8080/,8,0,0
1598396568968,8,Home Page,200,OK,Thread Group 1-30,text,true,,5248,116,3,3,http://localhost:8080/,8,0,0
1598396568976,10,Home Page,200,OK,Thread Group 1-31,text,true,,5248,116,2,2,http://localhost:8080/,10,0,0
1598396568984,8,Home Page,200,OK,Thread Group 1-32,text,true,,5248,116,3,3,http://localhost:8080/,8,0,1
1598396568992,10,Home Page,200,OK,Thread Group 1-33,text,true,,5248,116,2,2,http://localhost:8080/,10,0,0
1598396569002,6,Home Page,200,OK,Thread Group 1-34,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396569011,7,Home Page,200,OK,Thread Group 1-35,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569021,7,Home Page,200,OK,Thread Group 1-36,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569031,7,Home Page,200,OK,Thread Group 1-37,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598396569042,6,Home Page,200,OK,Thread Group 1-38,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396569054,7,Home Page,200,OK,Thread Group 1-39,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598396569062,10,Home Page,200,OK,Thread Group 1-40,text,true,,5248,116,1,1,http://localhost:8080/,10,0,1
1598396569073,7,Home Page,200,OK,Thread Group 1-41,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569082,6,Home Page,200,OK,Thread Group 1-42,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396569091,7,Home Page,200,OK,Thread Group 1-43,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569101,7,Home Page,200,OK,Thread Group 1-44,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569111,7,Home Page,200,OK,Thread Group 1-45,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569121,7,Home Page,200,OK,Thread Group 1-46,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569131,7,Home Page,200,OK,Thread Group 1-47,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598396569141,8,Home Page,200,OK,Thread Group 1-48,text,true,,5248,116,1,1,http://localhost:8080/,8,0,1
1598396569152,6,Home Page,200,OK,Thread Group 1-49,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396569161,7,Home Page,200,OK,Thread Group 1-50,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569171,7,Home Page,200,OK,Thread Group 1-51,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569181,7,Home Page,200,OK,Thread Group 1-52,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569191,7,Home Page,200,OK,Thread Group 1-53,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569201,7,Home Page,200,OK,Thread Group 1-54,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396569212,7,Home Page,200,OK,Thread Group 1-55,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569226,6,Home Page,200,OK,Thread Group 1-56,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396569235,7,Home Page,200,OK,Thread Group 1-57,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598396569251,7,Home Page,200,OK,Thread Group 1-59,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598396569261,8,Home Page,200,OK,Thread Group 1-58,text,true,,5248,116,2,2,http://localhost:8080/,8,0,0
1598396569262,8,Home Page,200,OK,Thread Group 1-60,text,true,,5248,116,2,2,http://localhost:8080/,8,0,0
1598396569271,9,Home Page,200,OK,Thread Group 1-61,text,true,,5248,116,1,1,http://localhost:8080/,9,0,0
1598396569290,7,Home Page,200,OK,Thread Group 1-62,text,true,,5248,116,2,2,http://localhost:8080/,7,0,0
1598396569294,6,Home Page,200,OK,Thread Group 1-63,text,true,,5248,116,2,2,http://localhost:8080/,6,0,0
1598396569301,8,Home Page,200,OK,Thread Group 1-64,text,true,,5248,116,2,2,http://localhost:8080/,8,0,1
1598396569311,8,Home Page,200,OK,Thread Group 1-65,text,true,,5248,116,1,1,http://localhost:8080/,8,0,1
1598396569322,7,Home Page,200,OK,Thread Group 1-66,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569332,6,Home Page,200,OK,Thread Group 1-67,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396569341,7,Home Page,200,OK,Thread Group 1-68,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598396569352,6,Home Page,200,OK,Thread Group 1-69,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396569362,6,Home Page,200,OK,Thread Group 1-70,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396569371,7,Home Page,200,OK,Thread Group 1-71,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569382,6,Home Page,200,OK,Thread Group 1-72,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396569394,8,Home Page,200,OK,Thread Group 1-73,text,true,,5248,116,1,1,http://localhost:8080/,8,0,1
1598396569407,7,Home Page,200,OK,Thread Group 1-74,text,true,,5248,116,2,2,http://localhost:8080/,7,0,0
1598396569413,7,Home Page,200,OK,Thread Group 1-75,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569422,10,Home Page,200,OK,Thread Group 1-76,text,true,,5248,116,2,2,http://localhost:8080/,10,0,0
1598396569431,7,Home Page,200,OK,Thread Group 1-77,text,true,,5248,116,2,2,http://localhost:8080/,7,0,0
1598396569441,10,Home Page,200,OK,Thread Group 1-78,text,true,,5248,116,1,1,http://localhost:8080/,10,0,1
1598396569452,6,Home Page,200,OK,Thread Group 1-79,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396569462,7,Home Page,200,OK,Thread Group 1-80,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569471,7,Home Page,200,OK,Thread Group 1-81,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569481,7,Home Page,200,OK,Thread Group 1-82,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569494,7,Home Page,200,OK,Thread Group 1-83,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569502,6,Home Page,200,OK,Thread Group 1-84,text,true,,5248,116,2,2,http://localhost:8080/,6,0,0
1598396569511,8,Home Page,200,OK,Thread Group 1-85,text,true,,5248,116,1,1,http://localhost:8080/,8,0,0
1598396569521,7,Home Page,200,OK,Thread Group 1-86,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396569533,7,Home Page,200,OK,Thread Group 1-87,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598396569543,8,Home Page,200,OK,Thread Group 1-88,text,true,,5248,116,1,1,http://localhost:8080/,8,0,0
1598396569553,10,Home Page,200,OK,Thread Group 1-89,text,true,,5248,116,2,2,http://localhost:8080/,10,0,0
1598396569563,8,Home Page,200,OK,Thread Group 1-90,text,true,,5248,116,2,2,http://localhost:8080/,8,0,1
1598396569572,9,Home Page,200,OK,Thread Group 1-91,text,true,,5248,116,1,1,http://localhost:8080/,9,0,1
1598396569587,6,Home Page,200,OK,Thread Group 1-92,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396569598,8,Home Page,200,OK,Thread Group 1-93,text,true,,5248,116,2,2,http://localhost:8080/,8,0,1
1598396569602,7,Home Page,200,OK,Thread Group 1-94,text,true,,5248,116,2,2,http://localhost:8080/,7,0,0
1598396569611,10,Home Page,200,OK,Thread Group 1-95,text,true,,5248,116,1,1,http://localhost:8080/,10,0,1
1598396569622,7,Home Page,200,OK,Thread Group 1-96,text,true,,5248,116,2,2,http://localhost:8080/,7,0,0
1598396569641,12,Home Page,200,OK,Thread Group 1-98,text,true,,5248,116,4,4,http://localhost:8080/,12,0,0
1598396569654,11,Home Page,200,OK,Thread Group 1-99,text,true,,5248,116,3,3,http://localhost:8080/,11,0,0
1598396569633,39,Home Page,200,OK,Thread Group 1-97,text,true,,5248,116,4,4,http://localhost:8080/,39,0,0
1598396569671,11,Home Page,200,OK,Thread Group 1-101,text,true,,5248,116,4,4,http://localhost:8080/,11,0,1
1598396569666,20,Home Page,200,OK,Thread Group 1-100,text,true,,5248,116,4,4,http://localhost:8080/,20,0,0
1598396569682,8,Home Page,200,OK,Thread Group 1-102,text,true,,5248,116,3,3,http://localhost:8080/,8,0,0
1598396569692,11,Home Page,200,OK,Thread Group 1-103,text,true,,5248,116,3,3,http://localhost:8080/,11,0,0
1598396569711,9,Home Page,200,OK,Thread Group 1-105,text,true,,5248,116,2,2,http://localhost:8080/,9,0,0
1598396569705,18,Home Page,200,OK,Thread Group 1-104,text,true,,5248,116,3,3,http://localhost:8080/,18,0,0
1598396569721,14,Home Page,200,OK,Thread Group 1-106,text,true,,5248,116,2,2,http://localhost:8080/,14,0,0
1598396569732,8,Home Page,200,OK,Thread Group 1-107,text,true,,5248,116,2,2,http://localhost:8080/,8,0,0
1598396569742,9,Home Page,200,OK,Thread Group 1-108,text,true,,5248,116,1,1,http://localhost:8080/,9,0,0
1598396569751,9,Home Page,200,OK,Thread Group 1-109,text,true,,5248,116,1,1,http://localhost:8080/,9,0,0
1598396569761,9,Home Page,200,OK,Thread Group 1-110,text,true,,5248,116,1,1,http://localhost:8080/,9,0,1
1598396569771,9,Home Page,200,OK,Thread Group 1-111,text,true,,5248,116,1,1,http://localhost:8080/,9,0,0
1598396569782,8,Home Page,200,OK,Thread Group 1-112,text,true,,5248,116,1,1,http://localhost:8080/,8,0,0
1598396569792,9,Home Page,200,OK,Thread Group 1-113,text,true,,5248,116,2,2,http://localhost:8080/,9,0,0
1598396569801,11,Home Page,200,OK,Thread Group 1-114,text,true,,5248,116,2,2,http://localhost:8080/,11,0,0
1598396569811,10,Home Page,200,OK,Thread Group 1-115,text,true,,5248,116,1,1,http://localhost:8080/,10,0,1
1598396569822,7,Home Page,200,OK,Thread Group 1-116,text,true,,5248,116,2,2,http://localhost:8080/,7,0,0
