timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598391642839,8,Home Page,200,OK,Thread Group 1-1,text,true,,5248,116,1,1,http://localhost:8080/,8,0,0
1598391642887,8,Home Page,200,OK,Thread Group 1-2,text,true,,5248,116,1,1,http://localhost:8080/,8,0,1
1598391642938,7,Home Page,200,OK,Thread Group 1-3,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598391642988,8,Home Page,200,OK,Thread Group 1-4,text,true,,5248,116,1,1,http://localhost:8080/,8,0,0
1598391643038,5,Home Page,200,OK,Thread Group 1-5,text,true,,5248,116,1,1,http://localhost:8080/,5,0,0
1598391643087,7,Home Page,200,OK,Thread Group 1-6,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598391643137,7,Home Page,200,OK,Thread Group 1-7,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598391643187,6,Home Page,200,OK,Thread Group 1-8,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598391643237,8,Home Page,200,OK,Thread Group 1-9,text,true,,5248,116,1,1,http://localhost:8080/,8,0,1
1598391643287,7,Home Page,200,OK,Thread Group 1-10,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598391643338,16,Home Page,200,OK,Thread Group 1-11,text,true,,5248,116,1,1,http://localhost:8080/,16,0,1
1598391643388,19,Home Page,200,OK,Thread Group 1-12,text,true,,5248,116,1,1,http://localhost:8080/,19,0,1
1598391643438,43,Home Page,200,OK,Thread Group 1-13,text,true,,5248,116,1,1,http://localhost:8080/,43,0,1
1598391643490,24,Home Page,200,OK,Thread Group 1-14,text,true,,5248,116,1,1,http://localhost:8080/,24,0,0
1598391643537,8,Home Page,200,OK,Thread Group 1-15,text,true,,5248,116,1,1,http://localhost:8080/,8,0,1
1598391643588,7,Home Page,200,OK,Thread Group 1-16,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598391643638,7,Home Page,200,OK,Thread Group 1-17,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598391643688,7,Home Page,200,OK,Thread Group 1-18,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598391643738,7,Home Page,200,OK,Thread Group 1-19,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598391643788,6,Home Page,200,OK,Thread Group 1-20,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
