timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598396655270,8,Home Page,200,OK,Thread Group 1-1,text,true,,5248,116,3,3,http://localhost:8080/,8,0,0
1598396655274,9,Home Page,200,OK,Thread Group 1-2,text,true,,5248,116,4,4,http://localhost:8080/,9,0,0
1598396655276,9,Home Page,200,OK,Thread Group 1-3,text,true,,5248,116,6,6,http://localhost:8080/,9,0,0
1598396655280,19,Home Page,200,OK,Thread Group 1-4,text,true,,5248,116,9,9,http://localhost:8080/,19,0,0
1598396655286,13,Home Page,200,OK,Thread Group 1-6,text,true,,5248,116,9,9,http://localhost:8080/,13,0,0
1598396655288,12,Home Page,200,OK,Thread Group 1-7,text,true,,5248,116,9,9,http://localhost:8080/,12,0,0
1598396655290,19,Home Page,200,OK,Thread Group 1-8,text,true,,5248,116,12,12,http://localhost:8080/,19,0,1
1598396655293,21,Home Page,200,OK,Thread Group 1-9,text,true,,5248,116,14,14,http://localhost:8080/,21,0,0
1598396655299,23,Home Page,200,OK,Thread Group 1-10,text,true,,5248,116,15,15,http://localhost:8080/,23,0,0
1598396655284,43,Home Page,200,OK,Thread Group 1-5,text,true,,5248,116,17,17,http://localhost:8080/,43,0,0
1598396655302,29,Home Page,200,OK,Thread Group 1-12,text,true,,5248,116,16,16,http://localhost:8080/,29,0,0
1598396655312,36,Home Page,200,OK,Thread Group 1-15,text,true,,5248,116,18,18,http://localhost:8080/,36,0,0
1598396655323,31,Home Page,200,OK,Thread Group 1-19,text,true,,5248,116,20,20,http://localhost:8080/,31,0,1
1598396655309,50,Home Page,200,OK,Thread Group 1-14,text,true,,5248,116,23,23,http://localhost:8080/,50,0,0
1598396655310,50,Home Page,200,OK,Thread Group 1-11,text,true,,5248,116,23,23,http://localhost:8080/,50,0,0
1598396655330,31,Home Page,200,OK,Thread Group 1-21,text,true,,5248,116,23,23,http://localhost:8080/,31,0,4
1598396655321,47,Home Page,200,OK,Thread Group 1-18,text,true,,5248,116,26,26,http://localhost:8080/,47,0,0
1598396655314,54,Home Page,200,OK,Thread Group 1-16,text,true,,5248,116,26,26,http://localhost:8080/,54,0,0
1598396655348,31,Home Page,200,OK,Thread Group 1-27,text,true,,5248,116,26,26,http://localhost:8080/,31,0,1
1598396655340,41,Home Page,200,OK,Thread Group 1-13,text,true,,5248,116,27,27,http://localhost:8080/,41,0,0
1598396655320,63,Home Page,200,OK,Thread Group 1-17,text,true,,5248,116,27,27,http://localhost:8080/,63,0,2
1598396655329,63,Home Page,200,OK,Thread Group 1-20,text,true,,5248,116,27,27,http://localhost:8080/,63,0,4
1598396655332,67,Home Page,200,OK,Thread Group 1-22,text,true,,5248,116,28,28,http://localhost:8080/,67,0,0
1598396655339,66,Home Page,200,OK,Thread Group 1-24,text,true,,5248,116,30,30,http://localhost:8080/,66,0,0
1598396655356,50,Home Page,200,OK,Thread Group 1-30,text,true,,5248,116,30,30,http://localhost:8080/,50,0,1
1598396655360,52,Home Page,200,OK,Thread Group 1-31,text,true,,5248,116,33,33,http://localhost:8080/,52,0,0
1598396655335,82,Home Page,200,OK,Thread Group 1-23,text,true,,5248,116,34,34,http://localhost:8080/,82,0,0
1598396655355,63,Home Page,200,OK,Thread Group 1-26,text,true,,5248,116,34,34,http://localhost:8080/,63,0,0
1598396655368,57,Home Page,200,OK,Thread Group 1-34,text,true,,5248,116,36,36,http://localhost:8080/,57,0,0
1598396655349,80,Home Page,200,OK,Thread Group 1-25,text,true,,5248,116,39,39,http://localhost:8080/,79,0,0
1598396655355,78,Home Page,200,OK,Thread Group 1-29,text,true,,5248,116,40,40,http://localhost:8080/,78,0,0
1598396655382,54,Home Page,200,OK,Thread Group 1-38,text,true,,5248,116,41,41,http://localhost:8080/,54,0,0
1598396655367,74,Home Page,200,OK,Thread Group 1-33,text,true,,5248,116,43,43,http://localhost:8080/,74,0,0
1598396655363,87,Home Page,200,OK,Thread Group 1-32,text,true,,5248,116,45,45,http://localhost:8080/,87,0,0
1598396655403,56,Home Page,200,OK,Thread Group 1-45,text,true,,5248,116,45,45,http://localhost:8080/,56,0,0
1598396655390,70,Home Page,200,OK,Thread Group 1-41,text,true,,5248,116,45,45,http://localhost:8080/,70,0,0
1598396655397,66,Home Page,200,OK,Thread Group 1-43,text,true,,5248,116,46,46,http://localhost:8080/,66,0,0
1598396655375,92,Home Page,200,OK,Thread Group 1-35,text,true,,5248,116,46,46,http://localhost:8080/,92,0,4
1598396655386,81,Home Page,200,OK,Thread Group 1-36,text,true,,5248,116,47,47,http://localhost:8080/,81,0,0
1598396655393,77,Home Page,200,OK,Thread Group 1-40,text,true,,5248,116,46,46,http://localhost:8080/,77,0,0
1598396655411,62,Home Page,200,OK,Thread Group 1-48,text,true,,5248,116,47,47,http://localhost:8080/,62,0,0
1598396655368,106,Home Page,200,OK,Thread Group 1-28,text,true,,5248,116,47,47,http://localhost:8080/,106,0,0
1598396655407,69,Home Page,200,OK,Thread Group 1-42,text,true,,5248,116,48,48,http://localhost:8080/,69,0,1
1598396655403,81,Home Page,200,OK,Thread Group 1-44,text,true,,5248,116,51,51,http://localhost:8080/,81,0,0
1598396655483,1,Home Page,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8080 failed to respond,Thread Group 1-72,text,false,,2067,0,51,51,http://localhost:8080/,0,0,0
1598396655486,0,Home Page,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8080 failed to respond,Thread Group 1-73,text,false,,2067,0,50,50,http://localhost:8080/,0,0,0
1598396655489,1,Home Page,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8080 failed to respond,Thread Group 1-74,text,false,,2067,0,50,50,http://localhost:8080/,0,0,0
1598396655491,1,Home Page,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8080 failed to respond,Thread Group 1-75,text,false,,2067,0,51,51,http://localhost:8080/,0,0,1
1598396655411,89,Home Page,200,OK,Thread Group 1-46,text,true,,5248,116,50,50,http://localhost:8080/,89,0,1
1598396655506,1,Home Page,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8080 failed to respond,Thread Group 1-80,text,false,,2067,0,50,50,http://localhost:8080/,0,0,0
1598396655385,123,Home Page,200,OK,Thread Group 1-37,text,true,,5248,116,50,50,http://localhost:8080/,123,0,1
1598396655519,1,Home Page,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8080 failed to respond,Thread Group 1-84,text,false,,2067,0,50,50,http://localhost:8080/,0,0,1
1598396655409,113,Home Page,200,OK,Thread Group 1-47,text,true,,5248,116,51,51,http://localhost:8080/,113,0,2
1598396655421,103,Home Page,200,OK,Thread Group 1-39,text,true,,5248,116,51,51,http://localhost:8080/,103,0,0
1598396655423,104,Home Page,200,OK,Thread Group 1-52,text,true,,5248,116,48,48,http://localhost:8080/,104,0,0
