timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598396543337,7,Home Page,200,OK,Thread Group 1-1,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598396543438,7,Home Page,200,OK,Thread Group 1-2,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396543538,6,Home Page,200,OK,Thread Group 1-3,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396543637,6,Home Page,200,OK,Thread Group 1-4,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396543737,8,Home Page,200,OK,Thread Group 1-5,text,true,,5248,116,1,1,http://localhost:8080/,8,0,0
1598396543837,6,Home Page,200,OK,Thread Group 1-6,text,true,,5248,116,1,1,http://localhost:8080/,6,0,0
1598396543938,9,Home Page,200,OK,Thread Group 1-7,text,true,,5248,116,1,1,http://localhost:8080/,9,0,0
1598396544038,16,Home Page,200,OK,Thread Group 1-8,text,true,,5248,116,1,1,http://localhost:8080/,16,0,1
1598396544140,17,Home Page,200,OK,Thread Group 1-9,text,true,,5248,116,1,1,http://localhost:8080/,17,0,0
1598396544238,17,Home Page,200,OK,Thread Group 1-10,text,true,,5248,116,1,1,http://localhost:8080/,17,0,0
1598396544338,18,Home Page,200,OK,Thread Group 1-11,text,true,,5248,116,1,1,http://localhost:8080/,18,0,0
1598396544438,19,Home Page,200,OK,Thread Group 1-12,text,true,,5248,116,1,1,http://localhost:8080/,19,0,1
1598396544537,10,Home Page,200,OK,Thread Group 1-13,text,true,,5248,116,1,1,http://localhost:8080/,10,0,1
1598396544637,14,Home Page,200,OK,Thread Group 1-14,text,true,,5248,116,1,1,http://localhost:8080/,14,0,0
1598396544737,21,Home Page,200,OK,Thread Group 1-15,text,true,,5248,116,1,1,http://localhost:8080/,21,0,1
1598396544837,7,Home Page,200,OK,Thread Group 1-16,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598396544937,7,Home Page,200,OK,Thread Group 1-17,text,true,,5248,116,1,1,http://localhost:8080/,7,0,1
1598396545037,9,Home Page,200,OK,Thread Group 1-18,text,true,,5248,116,1,1,http://localhost:8080/,9,0,0
1598396545138,7,Home Page,200,OK,Thread Group 1-19,text,true,,5248,116,1,1,http://localhost:8080/,7,0,0
1598396545237,9,Home Page,200,OK,Thread Group 1-20,text,true,,5248,116,1,1,http://localhost:8080/,9,0,0
1598396545337,8,Home Page,200,OK,Thread Group 1-21,text,true,,5248,116,1,1,http://localhost:8080/,8,0,1
1598396545437,5,Home Page,200,OK,Thread Group 1-22,text,true,,5248,116,1,1,http://localhost:8080/,5,0,0
